Indonesia,Simalungun
bersenam,"marsonam, marsonam "
bersenapan parbodil n penembak,marbodil 
bersengaja,"marutus, marutus "
bersenjata,marsinjata 
bersentuhan,dais
bersepak,"marsisipakan 
"
bersepatu,"marsipatu, marsipatu "
berserah,marondos 
berserak,"abur, ampar, berag, galampar, hampar, lagas, mampar, martartar, martartar "
berserakan,"abur , eor, maraburan , sangei"
berserak-serak,berag
berserambi,"marsurambih, marsurambih "
berserdawa,"marterab, marterab 
"
berseri,"linang, marlina "
berseri (wajah),linang
berseruling,marsulim 
bersetubuh,"martetet, martetet "
bersiap,hebas
bersiap-siap; bergegas; berkemas-kemas,hebas
bersifat suka mengikuti orang lain,pangirikkon 
bersih,"borsih, pakis, pansing, uras"
bersiku,marsiku 
bersilsilah,"martarombo 
"
bersin,barsi
bersinar,"marsinalsal, marsinalsal 
"
bersirih,marpuran 
bersisa,"marsisa , marsulei, marsulei , martodei"
bersisa todei,martodei 
bersisik,marsisik
bersisir,"marsurui, marsurui "
bersopan,"marsupan, marsupan "
bersorak,"ihe , marolob 
"
bersuami,"amang , marpargotong "
bersuap,"marsisulangan 
, marsulang "
bersuara,"margibig , marsora"
bersudut,suhi 
bersuka cita,marmalas uhur 
bersuluh,"marrigap, marrigap "
bersunat,"marsunat, marsunat "
bersuntil,"marsuntil, marsuntil "
bersyarat,marsarat
bersyarat sareisei,marsarat 
bertaburan,surar
bertaji,"martadi, martadi "
bertali,martali
bertali tali,martali 
bertambah,"ganda, martambah, martambah "
bertambah pandai,mapandei 
bertambah tinggi,murut
bertambah tinggi; bertambah panjang,murut
bertanam,"marsuan , martanom "
bertanam ceng,marsengkeh 
bertanam kacang,marhasang 
bertandang,"martandang, martandang "
bertanduk,martanduk 
bertangan,martangan 
bertangga,"marandar, marandar , martangga, martangga "
bertangkai,"martampuk 
"
bertangkal,"martangkal, penangkal 
 
martangkal "
bertani,juma 
bertanya,manungkun 
bertapa,"martapa, martapa "
bertaruh,marsagar 
berteduh,"manisio, marlindung 
, marlinggom "
bertelanjang,"marsalang , martalanjang, martalanjang "
bertelur,"martinaru , martolur "
bertempat,"marianan, marianan "
bertemu,"mardomu , martomu "
bertengkar,"marbada, marsimbat 
, martungkang , martungking , nguh"
bertengkar c,marbada 
bertenun,martonun 
bertepuk,"martopap 
"
berternak kerbau,"marhorbou 
"
bertetesan,"mangkatektek, mangkatektek "
bertiang,martiang 
bertiduran,"makkamodom, makkamodom , marsimodoman"
bertiduran parmodom n penidur,marsimodoman 
bertikam,"marsitobakan 
"
bertikar,"maramak, maramak , marapei, marapei "
bertindih,paagil 
bertinju,martenju 
bertiup,marsompul 
bertobat,"martobat, martobat "
bertongkat,martungkot 
bertopeng topong,martoping 
bertopi,martangkuluk 
bertuah,mogah
bertualang ke,iapiap
bertualang ke sana ke mari,iapiap
bertubuh,"marangkula, marangkula "
bertuhan,"Tuhan  
marnaibatahon , marnaibata, marnaibata , marnaibatahon, martuhan, martuhan "
bertukang,martuhang 
bertukar,"linsei, marlinsei, marlinsei , martuhar, martuhar "
bertukar barang,marlibey 
bertukar barang kol,"kokangokangan 
a 
tukar 
tukaran barang  
marokang "
bertukar; ,linsei
bertulang,holi 
bertumba,mangkarumbak 
bertumbangan,mardorob 
bertumpuk,"gugun, gugun "
bertunas,"marsuli , martumbor , martunas "
bertutup,"martungub, martungub "
bertutur,martutur 
beruang,"gipul, marduit "
beruang gipo [gipO] a hemat gira → girah,gipul
berubah,"alih, marubah , mubah"
berubah menjadi,salih
beruban,"maruban, maruban , ubanon, ubanon "
berujung,"marujung, marujung "
beruk,"bodat, buran"
berulang,"manihiti 
, martambari, martambari "
berumah,"marhajabuon, marjabu, marjabu , marrumah "
berumah tangga,"marhajabuon 
"
berumahkan,marjabuon
berumahkan sajabu num serumah,marjabuon 
berumpama,marumpama 
berumput,"marpoyon, marpoyon "
berumur,marumur 
beruntung,"diatei, marlaba, marlaba , martuah, martuah "
berupah,"marupah, marupah "
berurat,marurat 
berusaha melepas,guas
berusaha melepas- kan diri,guas
berutang,"marteres, marteres "
berwibawa,"marjombut 
"
berzina,"marbangkis, marbangkis 
"
besan,"bajo, besan"
besan bajoh [bajOh] n bisul bajor [bajOr] a miskin,bajo
besar,"bangar, banggal, bolon, bongoh, galto, tahar"
besar (tentang lubang),tahar
besar dan tinggi,dulas
besar pendek,"jogoh, jongok"
besar; luas,bolon
besi,bosi
besok,"patar, sogod"
beterbangan,"marhabangan, marhabangan "
beternak,"marpahan 
"
betina,boru
betis,bitis
betul,"botul, poldut"
biak,"gargar, gompar"
biak;  biak; berketurunan,gargar
biang keringat,panas
biar,"age, agena, longa"
biar age ma au laho mi biarlah aku yang pergi,age
biarkan,"ginang, ginong, paturut"
biarkan saja,gelah
biarkan saja; ,gelah
biarlah,"ageni, gembit"
biasa,somal
biawak,lobar
bibir,bibir
bibit,"gobgob, tampang"
bibit talas,gobgoban
bicara,hitei
bidak,bidak
bidik,pitak
bidikan,enet
bidikan (nyaris mengenai sasaran),enet
bijak,"bijak, lisak, toal"
biji,"batu, hamata"
biji buah yang dapat,lunci
"biji buah yang dapat dimakan, misalnya biji buah nangka, cempedak, durian, dan lain-lain",lunci
"biji; sangkamata	num	sebiji",hamata
bilamana,antigau
bilik,bilik
bimbang,ganggu
bimbing,"marsitoguan, togu, tuntun 
marsitoguan "
binasa,tumpur
binatang,"binantang, binsusur, bintutur, hulihap, pinahan"
binatang berkaki,murik
binatang berkaki empat yang berkembang biak dengan cara melahirkan,murik
binatang liar yang,ayam
binatang liar yang dipelihara,ayam
binatang penyengat,gocam
binatang sejenis biawak,binsusur
binatang sejenis kangguru,bintutur
binatang sejenis ulat,onsit
binatang sejenis ulat kecil yang memakan sayur- sayuran,onsit
binatang terikat,ortong
binatang terikat yang berusaha melepaskan ikatannya,ortong
bingkai,"batokan, bingke, dohot"
bintang,bintang
bintik,"huridi, ronggot"
bintik putih yang,palou
bintik putih yang tumbuh di mata dan menye- babkan mata kabur atau buta,palou
bintik-bintik (warna ayam),huridi
biru,honda
bisa,"bisa, boi"
bisa (racun),bisa
bisa melihat sesuatu yang gaib,parnidahan 
bisik,husip
bising,"biting, gebeg"
bisu,longah
bisul,"bajoh, bayoh"
bocor,"gajar, luas, tiris"
bodoh,"balugup, begong, bonggam, jijing, jojong, lontong, oto"
bodoh: aras ni uhur bodoh,aras
boikot,hampas
boikot; ,hampas
bola,bola
bolak,didas
bolak-balik,didas
boleh,malo
boleh; diizinkan; tidak dilarang,malo
"boleh;	di- benarkan",bulih
bongkahan,galmok
bongkahan tanah yg bulat,galmok
bongkar,"bungkar, rongkat, sungkei"
bopeng,turik
bor,pungkor
borgol,gari
boros,"loyar, sayak, ular"
bosan,"haor, jolak, losog, sobal, sopal"
bosan mendengar,ngimngir
botol,botol
buah,"bangkudu, bogar, boras, buah, kibul, maposo, pisak, poso, rayung"
buah bacang,ambasang
buah delima,delima
buah jengkol,jobang
buah jengkol yang sudah berkecambah,jobang
buah kandis,handis
buah pala,pala
buah peria,paria
buah pertama; bungaran,limbuah
buah ram- butan,rambutan
buah tangan,luah
buah tangan; oleh- oleh,luah
buah yang sudah tua tetapi belum masak,maposo 
buah; ,boras
buah; biji buah; butir buah yang kecil-kecil (seperti butir padi dan jagung),kibul
buah-buahan,bogar
buah-buahan yang tergantung,rayung
bual,orngak
bual; membual; besar mulut,orngak
buang,"allokkon, ambung, buang, mallok"
buang air,moyoh
buang air besar,martois 
buang; ,mallok
buangan,"buangan, buangan "
buangkan,"ambunghon, ambunghon , mallokkon, mallokkon "
buat,"bahen, tombei"
buat; lakukan,bahen
buaya,buaya
bubu,bubu
bubuk,ombuk
bubung,bungkulan
bubur,"burbur, harei"
buih,"lumoh, ugup"
bujuk,"anju, elek, hesek, ipuk, ojur, pujuk"
bujuk rayu,unggun
"bujuk; manghesek		v	membujuk",hesek
bujukan,"ojuran, ojuran "
buka,"buha, ungkap"
bukan,"lang, nada, sedo, song"
bukit,"buhit, buntu"
bukit barisan,urung
bulan,"bulan, lingkar, sipaha"
bulan ,lingkar
bulat,"balging, buta, gemong, gepong, gopong, hemong, lemong, pulur, remes"
bulat kecil,genong
bulat tanpa berlubang-lubang,remes
bulatan,hagemongon 
bulir padi yang,mapap
bulir padi yang hampa,mapap
bulu,"ambulu, jangot"
bulu ekor kuda,rabis
bulu landak,lundu
bulu roma,taruitui
buluh,lampon
buluh; bambu; aur,lampon
bumbung,hidingan
bumbung tempat tuak,hidingan
buncit,leneng
bundaran,halouhou
bunga,"bunga, lampudung"
bunga mawar,molur
bunga padi,runsang
bunga padi yang mekar,runsang
bunga petai,lampudung
bunga pinang arekelapa atau sebangsa pohopalem,mayang
bungkuk,"gumuk, gundang, lenduk, sanduhu"
bungkuk sabut,sanduhu
bungkuk sedikit,dengat
bungkus,"balut, bungkus, hopol, tumtum"
bungkus; ,hopol
bungkusan yang,puntal
bungkusan yang menggelembung,puntal
bunting,rindih
buntu,jut
bunuh,"benuh, bunuh"
bunyi,"bop, dajar, dengek, gojog, goro, jap"
bunyi (suara sekop ketika mengorek tanah),jap
bunyi bedil,datob
bunyi benda yang,nger
bunyi benda yang terpelanting,nger
bunyi dedaunan,daras
bunyi dedaunan kering yang tersentuh,daras
bunyi hujan,hasak
bunyi hujan yang turun ke bumi,hasak
bunyi lenguh,orong
bunyi lenguh (karena sakit),orong
bunyi letusan bedil,datob
bunyi orang melompat ke air,jaur
bunyi pelepah dihembus angin,jar
bunyi petir yang,dotok
bunyi petir yang berulang-ulang,dotok
bunyi piring jatuh,doran
bunyi ranting patah,depek
bunyi semak atau rumput terbakar,lotup
bunyi semak atau rumput yang terbakar,lotup
bunyi suara,dorong
bunyi suara buang,durup
bunyi suara buang air kecil,durup
bunyi suara gong duruk [duru?] v tersungkur,duruk
bunyi suara lidi,dosik
bunyi suara lidi yang ducambukkan,dosik
bunyi suara nyamuk,dorong
bunyi yang keluar dari,eab
bunyi yang keluar dari mulut karena kenyang,eab
buru,"buru, simbut"
buru-buru,simbut
buruk,"buruk, dorsa, mumuk"
burung,"birikbirik, hampilis, langkupa, sibahuei"
burung beo,hiung
burung beo; burung tiung,hiung
burung- burung yang biasa bergerombol,birikbirik
burung enggang,onggang
burung hantu,"langkupa, sipahuk"
burung kecil,"binsot, bisbis"
burung merbuk,sibahuei
burung murai,bonsala
burung perkutut,giti
burung pipit,dingis
burung puyuh,leto
busa,guboh
busa; buih,guboh
busuk,"asik, basou, burut, damuk"
"busuk  rusak dan berbau tidak sedap (tentang buah, daging, dan sebagainya)",masik
busuk rusak dan,masik
busung,busung
busur,sior
buta,"pitung, rojam"
buta sebelah,peltou
buta sebelah mata,peltou
butah,butah
butah (ucapan untuak mengusir babi),butah
butir,butir
butir padi yang luru,lajur
butir padi yang lurus,lajur
buyung,gusi
cabang,tupang
cabang kayu,"bangor, punggur"
cabe,lansina
cabik,ribak
cabut,"ombik, orbat, put, salungkar, tompu, umpat"
cabut (mem- bongkar anak pisang untuk ditanam),ombik
cacar,"sanggul, sasar"
cacing,"goya, sasing"
cacing perut,labilabi
cair,"lala, rotas"
cairan,lalaon
cak dulu,ondi
cak emoh,ehi
cak maaf,suali
cak molor,mulur
cak pakai,pakei
cak sudahlah,ehe
cakap,gesek
cakap kotor,sapal
cakar,"haerhon, raok, rarik"
cakar untuk mem,sisir
cakar untuk mem- bersihkan sawah,sisir
campak,pistak
campur,"aer, agu, binsar, buliga, sampur, saor, sotek, tombur, uram"
campur baur,hulimut
campuran,ragum
campuran tuak,raru
campuran untuk membuat tuak,raru
candu,sandu
canggung,"haduhat, jaluk, tuda"
cangkir,"garung, sangkir, sarip"
cangkir (dari tempurung kelapa),sarip
cangkul,"ombak, pangkur, sangkul"
cangkul kecil,hori
cantik,"gandal, jagiah, jenges, laing"
cap,tokan
"capah kecil yang digunakan untuk menggiling cabai, dan lain-lain",lagan
capek,torik
capung,siri
cara,"jangkit, pangampar, pangampu, panlulus, parhundul, pongkat"
cara berdiri,parjongjong
cara duduk,parhundul 
cara masuk,parmasuk 
cara melihat,pangidah
cara memakai kain,sigi
cara memakai kain yang kurang sopan sehingga tampak bagian paha,sigi
cara memangku,parampu
cara memangku orang yang memangku,"pangabingan 
"
cara memasak sagu,sulit
"cara memasak sagu dengan membentuknya seperti bentuk kuali, tipis, lalu dijerangkan di api seperti kue martabak",sulit
cara memperindah sesuatu sehingga menarik,hajenah
cara meng,pangampar 
cara menyadap,pangagad 
cara pandang anak,otute
cara pandang anak yatim piatu ketika melihat anak yang mempunyai orang tua memakan makanan yang enak,otute
cara; jalan,jangkit
cari,"daram, dios, jarah, pindah, sari, torih"
cat,"bolong, sat"
cawan,sahan
cecak,boraspati
cecer,peper
cecer; ,peper
cegukan,sosohotan
cekatan,"hinsah, sigap, tirgas"
cekatan,tirgas
cekatan;lancarrajin;giat,hinsah
cekik,"gotol, pongkik, songkik"
cekung,holbung
cela,risa
celana,"pitolon, saluar"
celana dalam,singkot
celipar,lupak
celipar  (tempat gambir),lupak
celup,"solup, sornob, sosob"
cemas,"gobir, gobor"
cemburu,"itug, latei"
cemburu; dendam,itug
cemooh,jajik
cemooh; ejekan,jajik
cemplung,gulabuk
cemplung; mencemplung,gulabuk
cencang,gotgot
cendawan,dawan
cendol,sendol
cengkih,"sengkeh, songkeh"
centeng,pareman
centong nasi,harih
centong nasi yang terbuat dari kayu dan ber- tangkai pipih (untuk mengaduk nasi dalam periuk),harih
cepat,"gejer, girah, hapos, hepes, hetep, hisah, hissan, lingkat, podas, sihap"
cepat; cepat- cepat,girah
cepatkan,"papodaskon, papodaskon "
cerai,"sirang, tolah"
cerdik,sus
ceret,seret
cerewet,"gadag, riting"
cerita,sarita
ceritakan,antus
cermat,rongut
cermat dan,tulimat
cermat dan berhati-hati,tulimat
cermin,sormin
ceroboh,"gurapas, ransah"
cetak,rokam
cicit,"nini, nono"
cincang,"Ry, gahgah, gatgat, getget, taktak"
cincang; ,gahgah
cincin,"tarnitni, tintin"
cincin atau ring,halihir
cincin atau ring tambatan tali pada hidung lembu atau kerbau,halihir
ciptaan,siminik
cis,"palis, pis"
cis (kata ejekan menunjukkan rasa tidak suka),palis
cis (ucapan rasa benci),pis
cium,"anggoh, sanggoh, summah, ummah"
cium (tentang bau-bauan),anggoh
coba,"suba, uji"
cobek,panggilingan
cocok,"talup, tama, teget"
coklat,"saholat, sihonda"
condong,"jurang, surdung, unjei"
congek,tungkik
corak,suat
corong,saluhsuh
cubit,"detep, goit, gotik, hubit"
cubit mencubit,"marsigotikan 
"
cubit;kubak;ihubitvdicubit;dikubak,hubit
cuci,basuh
cuci bagian,rukruk
cuci bagian dalam dengan mengguncang,rukruk
cuci rambut,angging
cuci rambut; keramas,angging
cucu,pahompu
cucuk ke tanah,pantuk
cucukkan ke,pasuk
cukai,"asil, pansung"
cukup,singgom
cukur,"nabung, suhur"
culah,lojong
cumi,"sibit, sotong"
cumi-cumi,sibit
cungkil,"duhei, ungkil"
cupak yang ter,tangkar
cupak yang ter- buat dari tempurung kelapa tangkas  [takkas]  a  jelas,tangkar
curam,tungkis
curi,"emur, tangko"
curian,tangkoan
dada,tonton
daerah,tanoh
daerah di Simalungun,Sidamanik
dagangan,tiga
daging,"daging, dongkei, jagal, juhut, lamunak, namalum, pulur"
daging buah-buahan yang dimakan,lamunak
daging suir,bihbihi
daging yang dimasak dengan bumbu khusus untuk disajikan kepada orang tua,namalum
dagu,osang
dahak,kohak
dahak; ,kohak
dahan,dangkah
dahi,"salapsap, salibon"
dahulu,"hinan, lobei"
"dahulu, masa lampau",lobei
dahulukan,palobei
daki,"dungut, nangkog"
dalam,"bagas, limun, sunguion"
dalam;  jauh dari permukaan,bagas
dalan,margelog
dalih,lampa
damai,damei
damar,damos
damping,romban
dan,"ampa, apa, jaha, janah, pakon"
dan;dengan,pakon
danau,tao
dandan,dandan
dangkal,"aras, damok, domok, libit"
dapat,dapot
dapat di lihat dari jauh,lerler
dapat dicepatkan,taroloskon 
dapat dihabiskan,tarboishon 
dapat dikerjakan,"tarhobason , tarhosei "
dapat dikuatkan,tarpagogoh 
dapat diterbangkan,"tarpahabang 
"
dapat melihat,marnidah 
darah,"daroh, mudar"
darat,darat
dari,hun
dari mana,anjah
daripada,"humbani, hunbani"
datang,"datang, marsirohan 
, roh"
dataran,"doshon, habungan"
dataranrendah,habungan
datuk,datok
daun,bulung
daun   salam,murak
daun enau,lambei
daun katu,nasi
daun kemangi,layam
daun pandan yang berdaun lebar dan panjang sebagai bahan pem- buat,anggarba
daun salam,murak
daun sirih,gatap
dayung,holey
debar,"bukbak, dibar"
debaran,dibaron 
debu,"abab, abuk, orbuk"
dedak,hodop
degil,"gilgil, hengkeng"
dekap,ulig
dekap (saat tidur),ulig
dekat,"barah, dohor, donok, lambung"
dekat sekali,doldol
"dekat, sisi",lambung
dekat; hapir tiba (waktunya),barah
dekatkan,jon
delapan,"lapan, ualuh"
delik,serleng
delima,dalima
delta,holang
demam,"banggor, marun, marunan"
demam; deman karena malaria,marun
dendam,"domdom, monok, sorngot"
dendang,ihal
dendeng,salei
dengan,"anjaha, dohot, horap"
dengar,"bogei, tangar, tangi"
dengar; ,bogei
dengkur,"mungkor, ungkor"
dengung,dondong
dengung suara kapal terbang,dengeng
dengung; ,dondong
dengus,dongos
"dengus; mardongos		v	berdengus",dongos
denting suara benda jatuih,latang
dentum,durub
dentum; ,durub
denyut,motok
depa,"dopa, holag"
depan,lojo
derak,"derek, hurapak"
derap,gorojob
derap; tiruan suara hentakan kaki; ,gorojob
deras,"doras, gojab"
dering,diring
derita,"awei, taron"
deru,dosong
deru; ,dosong
desir,hurasak
destar,"gotong, rantei"
detik,dotik
dewasa,matoras
di,i
dia,ia
diabaikan,itioshon 
diadakan,iadonghon
diadakan marnadong berada,iadonghon 
dialihkan,palembang 
diam,"diam, morpo, sip"
diam tak,dunam
diam tak berkata-kata,dunam
diam tidak,dungan
diam tidak berkata,dungan
diang,"dadang, lulus"
diang; ,dadang
diangkat,"iangkat , ipabangkit, ipabangkit 
"
diare,rompas
diasapi,pul 
dibabat pendek,pat 
dibakar,itutung 
dibalas,"ibalas, ibalas "
dibalut,igulu 
dibaptis,ididi 
dibasahi,"tarbah, tarbah "
dibatas,ibatos 
dibayang,lasalasa
dibayang- bayangkan; dikata-katakan; pura-pura tak sengaja,lasalasa
dibeci,"iluat, iluat "
dibelakangkan,"ipudihon, ipudihon "
dibengkokkan,"eduk , ipadegol 
"
dibentangkan,"bentang  
iamparhon , iherbangkon"
dibentuk,ilatap 
diberi,idembani 
diberi gorga,igorga
diberi tahu,itugah 
dibersihkan,iuras 
dibiasakan,ipasomal 
dibisikkan,ihusipkon 
diboikot,"ihampas, ihampas "
dibolehkan,"ipabulih, ipabulih "
dibongkar,"irongkat, irongkat "
dibuang,"igerdari 
, mambur"
dibuang- buangkan; terbuang,mambur
dibuangkan,"iambunghon, iambunghon "
dibuat lubang,irante 
dibujuk,"ianju, ianju , ielek "
dibuka,ipatalag 
dibungkus,"ibalut  , ibungkus , itumtum, itumtum "
dibungkuskan,ibungkushon
dicabut,"idokdok , itompu , put "
